uname,mid,roomid,follower,guardNum,coefficent,gid
不要脸的狗子,287935100,22258533,,137,,76.0
莫熙呐,398655122,21713184,77394.0,136,59.67253165804834,
-默心-,230533837,5962524,,136,,76.0
桑桑TUT,491370290,26305680,,136,,76.0
云淡叔叔,39891817,21301005,,136,,76.0
白鸦此去,2815204,13484582,,135,,76.0
Pomelo安妮,4697767,438063,,135,,76.0
狐狸不啸了,8935497,23596313,,135,,76.0
塞拉菲娜_Serafina,1025491703,23941099,253526.0,135,133.90025329830848,
Gluneko,301940,10401,,135,,75.0
猫不吃芒果め,14198063,82178,,134,,76.0
凉哈皮,8618005,6136246,,134,,75.0
千寒睡醒啦,167337063,23083532,,134,,76.0
植物椿,13199099,21724277,,134,,76.0
珞璃Official,1816182565,22898905,65775.0,133,46.3592897145985,
洛小洛er一定好好打工,1739392892,25937738,,133,,76.0
温柔的安酱,14313134,968427,,132,,76.0
可乐泡泡超肝的,55398490,21684723,,132,,76.0
走路摇ZLY,356010767,15013068,,132,,76.0
老洋蔥,609400,1030316,,132,,76.0
云上京,394869494,22080198,,131,,76.0
暨言千百回,190331,167537,,131,,76.0
陌陆z,489110062,23900926,,131,,76.0
窥酱Channel,370515,140011,97977.0,131,69.62374149699724,
全能野王乐乐,1930464509,25334591,,130,,76.0
月月奶芙,1745610081,23051623,,130,,75.0
西魔幽Yuu,476725595,21775601,64666.0,130,42.281219258907754,
猫姬琥珀_official,503801557,23778409,110505.0,130,76.25253742957057,
心上瑶,1577801347,25965542,,130,,76.0
诺子喵呜,10276136,21654925,,129,,76.0
奈奈莉娅Channel,489146840,22301377,182183.0,129,106.94942497194336,
安可乐ovo,1427895,4161354,,128,,75.0
激辣味噌,193558681,5391723,286167.0,128,134.57857496900363,
Ever丶长空,4514340,2767383,,128,,76.0
貓言葉,1550962,9202292,,128,,76.0
伊菲不是小火驴,43156010,26427138,,128,,76.0
玩具妹妹-,3493090595703581,26553919,,128,,76.0
莱妮娅_Rynia,703018634,22605289,42146.0,127,12.13994678860388,
江崎Esaki97,1426714555,25077199,,127,,76.0
辰星杂谈,41018196,15044498,,127,,76.0
大炒面制造者Cen,14890801,426667,,127,,76.0
凤小七seven,321650277,24833274,,126,,76.0
中单光一,434401868,21457197,101948.0,126,67.14263123943044,
凉宫雨Ame,134637395,23188396,44803.0,125,14.015926120326071,
香取绮罗_kira,574317507,22210372,135661.0,125,84.25577333041463,
兔兔牙萝北,22253179,7801275,,125,,76.0
小鸟游杏子Official,1069108539,23472646,154520.0,125,92.50819698386579,
火西肆,1401928,924973,90743.0,125,58.76087133811268,
波喵喵喵,463999,151159,,124,,76.0
May-五月呀,332721778,22917724,,124,,76.0
ninnikuu,11431931,675014,54364.0,124,25.27920227137008,
还有醒着的么,2100679,56237,461886.0,124,160.93085269576488,
浅川玉乃,1927279531,25021721,114235.0,123,71.35722477748425,
洛瑞娅EIF93,1133258171,24726627,82900.0,123,51.029747627222605,
零太,334299,34587,60905.0,123,31.482273005299362,
花辞鸢树serein,243265104,7222865,,123,,76.0
丸嘻嘻,300702024,9922197,,123,,76.0
小机灵阿瓜,1926780756,23109002,,123,,76.0
樱井奈娅,1034423936,24394348,,123,,76.0
白铃_Sirorin,1337993096,26097368,,123,,76.0
涅涅nene,1490293424,25146115,,123,,76.0
鱼子酱不能睡懒觉,26287758,10448205,,122,,76.0
无尘Yomi,226917581,25836897,,122,,76.0
帕莎Pasha,1633779879,23368278,,122,,76.0
祖娅纳惜,3046429,938957,2215731.0,122,258.3432917359594,
扶桑大红花丶,3985676,947866,1210520.0,122,220.01594060221908,
饭团喵にゃん,545530293,22563900,57905.0,121,26.279841590211504,
摆烂小天鸽,391882412,25876272,,121,,76.0
雨鱼渔爱吃鱼,1363865784,26543891,,121,,76.0
白咕噜碳,7659703,2455978,,121,,76.0
柯罗诺斯Chronus,324897535,25497805,49661.0,120,15.5426274131205,
打野茶茶,11352614,8560181,,120,,76.0
仓鼠绅士,11312659,38781,,120,,76.0
泰蕾莎Channel,620903,870004,670130.0,120,180.5253919519405,
烤鱼子Official,592507317,22259479,85931.0,120,50.30641541103296,
夢乃栞Yumeno_Shiori,372984197,14052636,249174.0,120,117.80248646541929,
凌小雪yo,626808306,22361521,,120,,76.0
againwhy,10583117,862316,,120,,76.0
蒂蒂嘟嘟,1391534322,26139665,,120,,76.0
swayJoJo,1201374258,26033627,,120,,76.0
黑瑞是个笨嘴,621672822,24982654,,120,,76.0
白开水儿QAq,1460795825,25559718,,120,,76.0
青寒plus,303573687,22499290,,120,,76.0
盛情难却姬喵喵,13408183,906245,,119,,76.0
西安WE丶Best,18768997,3208512,,119,,76.0
咩瓜_sxbjzd,13002659,4586625,,119,,76.0
软水水,251159663,23199319,,119,,76.0
连理今天也好可爱嗷,1680646141,23116434,,119,,76.0
真的想不出名儿了,2990100,4195167,,119,,76.0
露露露易丝儿,12527747,23590738,,119,,76.0
柚夏yuka,1890662098,25350006,,119,,76.0
舒三妈Susam,6853766,3032130,166367.0,119,91.19172322298436,
一只菜喵喵,300646326,9906982,,119,,76.0
紫贝儿official,632171719,25908077,,118,,76.0
马督工,316568752,22394171,,118,,76.0
_阿_狸__,3493075619940421,26422539,,118,,76.0
电竞少女刀妹,482113969,23489728,,118,,76.0
bili骁骑,472651210,22551571,,118,,76.0
香老师123,73415842,21593109,,118,,76.0
柚恩不加糖,1795147802,25512501,92796.0,118,53.179268832772095,
花辞不了,286641964,8897124,,118,,76.0
兔晶千穗_Qiho,1661638690,25932291,,117,,76.0
纯爱辣妹,3493076521716195,26327017,,117,,76.0
绯樱由乃,1814162787,25787932,,117,,76.0
晨曦8月28生日会,1297361395,24516377,,116,,76.0
在下清雨,1138381712,26443116,,116,,76.0
吃肉包的怂鼠,24957521,4726132,93331.0,116,51.543741407026914,
Akie秋绘,4176573,870691,405732.0,116,144.71261094118756,
泪眼执笔墨成花,9838546,4083870,,116,,76.0
昊月-KFP,17479767,1990654,,116,,76.0
K1ngAzara,235794311,6571500,,115,,76.0
全是曲奇,17013445,11328538,,115,,76.0
随一Suiii,1355412269,23075997,,115,,76.0
二条____,574879146,25390908,,115,,76.0
浙艺没有菲戈,513613827,24402390,,115,,76.0
卷卷卷卷卷福,1900972837,23735787,,115,,76.0
AG超玩会王者荣耀一诺,472755538,23919301,,115,,75.0
眠特Mint,1202416628,24255210,185477.0,115,94.08550280546149,
鹿野灸,5659864,2064239,215720.0,114,102.66209723520376,
夏卜卜,2049968320,23343237,44501.0,114,2.5871239840778344,
雾深Girimi,1484169431,23805029,88283.0,113,45.018400219275804,
铃音_Official,39267739,4316215,185956.0,113,92.24902417720307,
千幽Chiyuu,690608691,22605464,60624.0,113,21.1890848485815,
鈴宮鈴,480432362,21685677,198130.0,112,95.2694270369185,
flora圆圆,358629230,13328782,,112,,75.0
恋乃夜舞_propro,1900434152,23105590,589268.0,112,164.37274570823115,
v猫诺v,70070,308543,333869.0,112,128.35315229734113,
鸥诶Oak,351335373,23945753,77367.0,112,35.650409805419145,
Minicatty,423902976,21603945,96399.0,110,47.5943201901938,
茂Sigeru,2064099563,24762598,125293.0,110,64.21521133367492,
莫情呀,453685826,21544906,,109,,75.0
薇拉Vera-Official,532791,23092710,115708.0,109,58.16950849525563,
悠亚Yua,666726799,22470216,76423.0,108,30.872071139862328,
OldBa1,50621949,1569975,,108,,75.0
紗耶_sayako,385281102,21749031,145399.0,107,70.65082367475668,
神楽Mea_NHOTBOT,349991143,12235923,878293.0,107,184.67563259765802,
鸢尾牙牙,292838396,12845193,70743.0,107,24.975682401193012,
梦醒三生梦,93841264,3742025,,106,,75.0
蝶蝶Hikari,697737710,23369901,59591.0,106,13.099473535155994,
小饭中年事件簿,145149047,4629447,,105,,75.0
葡冷尔子gagako,1376650682,22857429,57712.0,105,10.068173559286379,
人间蜜药,12450452,22262300,101379.0,105,45.7877871294902,
星见汐娅,1584039005,24954295,127502.0,105,60.32325670501507,
友利Mori,279704683,8915924,126481.0,105,59.813523780445166,
星野怜Official,176135235,22880700,252610.0,105,103.67077164355715,
飞天狙想要努力变胖,51628309,23197314,,104,,75.0
蕾蕾大表哥,867152,81414,357762.0,104,124.7353134054174,
i御十二,607286,757349,466411.0,104,141.54894641415387,
守护茶茶,37946996,1440094,,104,,75.0
轻叹ww,2093232,994304,471943.0,104,142.29649555532114,
12dora,70093,544786,,103,,75.0
未未昭,6699767,713435,73222.0,102,22.159326158771478,
春野萌Moe,3570093,1589452,193570.0,102,83.79321023105001,
多多poi丶,11253297,392523,2551557.0,102,247.29038782692987,
山椒阿露波Arpa,1323227037,23252619,98106.0,101,39.7071612853515,
有棵里里,12939237,264788,135004.0,101,59.94798413115302,
尼尼不吃醋,20743420,1016255,,101,,75.0
伊尔比思,104138094,25042360,61683.0,100,9.287015104837565,
东野凹,121487111,4585823,287231.0,100,106.81386590976399,
狗狗狗雨,110631,5279,,100,,75.0
夕兔_H2,2128310,399854,57979.0,100,5.360812227015572,
彩虹酱哇,15076745,364027,840860.0,100,174.91424094893296,
折腾5号,927687,5088,,99,,75.0
草莓猫Taffy,1210816252,26421197,63822.0,96,7.448295256214237,
奶茶姬,130209,10244,110619.0,96,42.3179089011461,
