source,target,weight,src,dst
44,36,0.23576,泠鸢yousa,七海Nana7mi
125,30,0.23539,KB呆又呆,花少北丶
108,43,0.23534,穆小泠Official,雪狐桑
126,87,0.23509,早凉,希月萌奈
91,85,0.2346,白神遥Haruka,早稻叽
60,128,0.23436,瓶子君152,泛式
64,41,0.23432,艾露露Ailurus,东爱璃Lovely
54,70,0.23301,花园Serena,星宮汐Official
67,119,0.23298,温柔的安酱,飙黑车的司机
32,85,0.23294,夢乃栞Yumeno_Shiori,早稻叽
38,37,0.23276,雫るる_Official,HiiroVTuber
43,11,0.23262,雪狐桑,咩栗
87,11,0.23259,希月萌奈,咩栗
54,69,0.23235,花园Serena,美月もも
101,54,0.23221,物述有栖Official,花园Serena
107,19,0.23217,妙妙子Official,阿梓从小就很可爱
66,37,0.23208,星弥Hoshimi,HiiroVTuber
91,37,0.23193,白神遥Haruka,HiiroVTuber
70,85,0.23192,星宮汐Official,早稻叽
107,52,0.23132,妙妙子Official,Asaki大人
73,41,0.23131,杜松子_Gin,东爱璃Lovely
50,37,0.23107,勾檀Mayumi,HiiroVTuber
78,65,0.23094,桃几OvO,小柔Channel
41,40,0.23089,东爱璃Lovely,红晓音Akane
53,31,0.23075,夏诺雅_shanoa,魔狼咪莉娅
113,74,0.23074,夏川玥玥Official,扇宝
66,50,0.23042,星弥Hoshimi,勾檀Mayumi
18,37,0.22919,小可学妹,HiiroVTuber
64,17,0.22904,艾露露Ailurus,卡缇娅也不知道鸭
49,36,0.22899,绯赤艾莉欧_NHOTBOT,七海Nana7mi
42,91,0.22896,奈奈莉娅Channel,白神遥Haruka
89,19,0.22867,巴老师的小号,阿梓从小就很可爱
76,85,0.22852,蕾尔娜Leona,早稻叽
44,75,0.22818,泠鸢yousa,冰糖IO
106,37,0.2281,神楽Mea_NHOTBOT,HiiroVTuber
85,11,0.22782,早稻叽,咩栗
50,90,0.22763,勾檀Mayumi,雪绘Yukie
89,11,0.22749,巴老师的小号,咩栗
77,11,0.22657,路希维德Wiede,咩栗
48,91,0.2265,星汐Seki,白神遥Haruka
70,69,0.22618,星宮汐Official,美月もも
41,74,0.22616,东爱璃Lovely,扇宝
113,85,0.22611,夏川玥玥Official,早稻叽
129,130,0.22609,小铃久绘Official,梦音茶糯
131,34,0.22523,v猫诺v,C酱です
113,130,0.22484,夏川玥玥Official,梦音茶糯
76,91,0.22437,蕾尔娜Leona,白神遥Haruka
72,42,0.22425,黎歌Neeko,奈奈莉娅Channel
78,4,0.22388,桃几OvO,薇Steria
20,19,0.22374,乙女音Official,阿梓从小就很可爱
85,91,0.22353,早稻叽,白神遥Haruka
111,132,0.22304,木糖纯Official,依然小智
133,98,0.22287,成都AG超玩会丶久诚,AG超玩会王者荣耀梦泪
21,49,0.22273,古守血遊official,绯赤艾莉欧_NHOTBOT
108,10,0.22226,穆小泠Official,呜米
21,54,0.22222,古守血遊official,花园Serena
85,45,0.22192,早稻叽,hanser
108,130,0.22191,穆小泠Official,梦音茶糯
49,34,0.22174,绯赤艾莉欧_NHOTBOT,C酱です
54,19,0.22157,花园Serena,阿梓从小就很可爱
134,19,0.22151,奈姬niki,阿梓从小就很可爱
135,136,0.22141,Fulgur-Official,Vox_EN_Official
126,85,0.22105,早凉,早稻叽
70,53,0.22101,星宮汐Official,夏诺雅_shanoa
128,60,0.22076,泛式,瓶子君152
122,6,0.22034,莞儿睡不醒,向晚大魔王
53,20,0.2202,夏诺雅_shanoa,乙女音Official
75,18,0.22012,冰糖IO,小可学妹
53,85,0.21967,夏诺雅_shanoa,早稻叽
75,22,0.21965,冰糖IO,眞白花音_Official
36,92,0.21948,七海Nana7mi,永雏塔菲
50,35,0.21927,勾檀Mayumi,帅比笙歌超可爱OvO
109,54,0.21838,花丸晴琉Official,花园Serena
50,34,0.21829,勾檀Mayumi,C酱です
122,7,0.21819,莞儿睡不醒,乃琳Queen
85,19,0.21817,早稻叽,阿梓从小就很可爱
86,83,0.21806,多多poi丶,花园花玲
120,53,0.21786,猫芒ベル_Official,夏诺雅_shanoa
121,22,0.2177,恋乃夜舞_propro,眞白花音_Official
116,52,0.21769,小绝,Asaki大人
49,46,0.21739,绯赤艾莉欧_NHOTBOT,九重紫Official
84,83,0.21687,宴宁ccccc,花园花玲
112,43,0.21627,有棵里里,雪狐桑
32,70,0.21587,夢乃栞Yumeno_Shiori,星宮汐Official
64,18,0.21551,艾露露Ailurus,小可学妹
49,92,0.21546,绯赤艾莉欧_NHOTBOT,永雏塔菲
112,11,0.21528,有棵里里,咩栗
120,38,0.21508,猫芒ベル_Official,雫るる_Official
113,87,0.21474,夏川玥玥Official,希月萌奈
113,43,0.21474,夏川玥玥Official,雪狐桑
32,106,0.21468,夢乃栞Yumeno_Shiori,神楽Mea_NHOTBOT
49,69,0.21449,绯赤艾莉欧_NHOTBOT,美月もも
50,5,0.21436,勾檀Mayumi,内德维德
113,22,0.21432,夏川玥玥Official,眞白花音_Official
50,92,0.21386,勾檀Mayumi,永雏塔菲
54,91,0.21373,花园Serena,白神遥Haruka
95,82,0.21368,恬豆发芽了,明前奶绿
76,45,0.21362,蕾尔娜Leona,hanser
73,65,0.21361,杜松子_Gin,小柔Channel
116,88,0.21342,小绝,神奇陆夫人
54,34,0.2134,花园Serena,C酱です
66,34,0.21333,星弥Hoshimi,C酱です
134,52,0.21317,奈姬niki,Asaki大人
42,85,0.21299,奈奈莉娅Channel,早稻叽
103,45,0.21254,shourei小N,hanser
126,11,0.21228,早凉,咩栗
70,45,0.21211,星宮汐Official,hanser
137,34,0.21199,黑桐谷歌,C酱です
109,21,0.21197,花丸晴琉Official,古守血遊official
87,91,0.21192,希月萌奈,白神遥Haruka
129,43,0.2119,小铃久绘Official,雪狐桑
23,49,0.21184,鈴宮鈴,绯赤艾莉欧_NHOTBOT
109,106,0.21154,花丸晴琉Official,神楽Mea_NHOTBOT
91,45,0.21125,白神遥Haruka,hanser
90,89,0.21085,雪绘Yukie,巴老师的小号
75,10,0.21068,冰糖IO,呜米
23,85,0.21032,鈴宮鈴,早稻叽
36,18,0.21025,七海Nana7mi,小可学妹
70,36,0.20982,星宮汐Official,七海Nana7mi
89,10,0.20972,巴老师的小号,呜米
18,92,0.20966,小可学妹,永雏塔菲
138,34,0.20957,AIChannel中国绊爱,C酱です
49,45,0.20918,绯赤艾莉欧_NHOTBOT,hanser
18,48,0.20898,小可学妹,星汐Seki
73,11,0.20889,杜松子_Gin,咩栗
44,85,0.20879,泠鸢yousa,早稻叽
44,34,0.20879,泠鸢yousa,C酱です
75,7,0.20879,冰糖IO,乃琳Queen
115,128,0.20867,艾尔莎_Channel,泛式
21,85,0.20827,古守血遊official,早稻叽
40,10,0.20809,红晓音Akane,呜米
43,91,0.20804,雪狐桑,白神遥Haruka
75,2,0.20784,冰糖IO,贝拉kira
139,65,0.20746,兰音Reine,小柔Channel
41,10,0.20743,东爱璃Lovely,呜米
109,85,0.20726,花丸晴琉Official,早稻叽
122,2,0.20713,莞儿睡不醒,贝拉kira
69,38,0.20681,美月もも,雫るる_Official
140,69,0.20669,茉吱Mojuko,美月もも
18,34,0.20658,小可学妹,C酱です
108,74,0.20636,穆小泠Official,扇宝
81,19,0.20581,麻尤米mayumi,阿梓从小就很可爱
4,56,0.20574,薇Steria,露米Lumi_Official
47,19,0.20549,秋凛子Rinco,阿梓从小就很可爱
113,10,0.20547,夏川玥玥Official,呜米
36,37,0.20541,七海Nana7mi,HiiroVTuber
76,10,0.20532,蕾尔娜Leona,呜米
126,91,0.20526,早凉,白神遥Haruka
109,53,0.20513,花丸晴琉Official,夏诺雅_shanoa
129,113,0.20503,小铃久绘Official,夏川玥玥Official
127,5,0.20489,黑泽诺亚NOIR,内德维德
47,11,0.20476,秋凛子Rinco,咩栗
70,54,0.20465,星宮汐Official,花园Serena
36,34,0.20462,七海Nana7mi,C酱です
75,106,0.20453,冰糖IO,神楽Mea_NHOTBOT
4,64,0.20444,薇Steria,艾露露Ailurus
20,109,0.20411,乙女音Official,花丸晴琉Official
75,6,0.20406,冰糖IO,向晚大魔王
5,4,0.20395,内德维德,薇Steria
106,38,0.2037,神楽Mea_NHOTBOT,雫るる_Official
129,87,0.20366,小铃久绘Official,希月萌奈
44,3,0.20333,泠鸢yousa,嘉然今天吃什么
40,74,0.20324,红晓音Akane,扇宝
70,11,0.20321,星宮汐Official,咩栗
53,70,0.20306,夏诺雅_shanoa,星宮汐Official
141,63,0.20298,荔枝Kouun,甜药Jamren
54,92,0.20294,花园Serena,永雏塔菲
112,91,0.20288,有棵里里,白神遥Haruka
108,45,0.20283,穆小泠Official,hanser
73,91,0.2022,杜松子_Gin,白神遥Haruka
70,91,0.20207,星宮汐Official,白神遥Haruka
122,96,0.20191,莞儿睡不醒,星瞳_Official
121,38,0.20188,恋乃夜舞_propro,雫るる_Official
70,21,0.20178,星宮汐Official,古守血遊official
103,83,0.20166,shourei小N,花园花玲
40,65,0.20162,红晓音Akane,小柔Channel
73,64,0.20142,杜松子_Gin,艾露露Ailurus
